#								DeltaBlue	0			0
"				    Dart"		5321.81		0			0
"			     Dart2JS"		6900.66		0			0
"		  JavaScript (v8)"		5494.51		0			0
"		    Kotlin2JS (v8)"		0			1347000		0
"	   Kotlin2JS OPT (v8)"		0			0			8950.89
"	    Dart2JS(mozjs17)" 		50550		0	 		0
"	JavaScript (mozjs17)"		10837.83	0			0
"	 Kotlin2JS (mozjs17)"		0			563000.65	0
"Kotlin2JS OPT (mozjs17)"		0			0			62750
"			   GWT (v8)"		34000		0			0
"		 GWT (mozjs17)"			668000		0			0
"			       Doppio"		2029800		0			0
